"Abandoned carts","Napuštene košarice"
"Action","Akcija"
"Add to Cart","Stavi u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj u listu želja"
"Any","Bilo koji"
"Applied Coupon","Korišteni kupon"
"Are you sure?","Jeste li sigurni?"
"Bestsellers","Najbolje prodavani proizvodi"
"Bought from wishlists","Kupljeno iz liste želja"
"Carts","Košarice"
"Coupons","Kuponi"
"Created At","Kreirano u"
"Customer","Kupac"
"Customer Name","Ime kupca"
"Customer Tags","Kupčevi tagovi"
"Customers","Kupci"
"Customers Report","Izvještaj o kupcima"
"Customers Reviews","Recenzije kupaca"
"Customers Tags","Oznake proizvoda kupaca"
"Customers by number of orders","Kupci po broju narudžbi"
"Customers by orders total","Kupci po veličini narudžbi"
"Customers that have wishlist: %s%","Kupaca koji imaju listu želja: %s%"
"Dashboard","Upravljačka ploča"
"Description","Opis"
"Detail","Detalj"
"Email","email"
"First Name","Ime"
"From","Od"
"General","Općenito"
"Guest","Gost"
"Hits","Pogodaka"
"IP Address","IP adresa"
"Items in Cart","Artikala u košarici"
"Last Name","Prezime"
"Last Review","Zadnja recenzija"
"Low stock","Niske zalihe"
"Month","Mjesec"
"Most Viewed","Najviše pregledano"
"Name","Naziv"
"New Accounts","Novi korisnički računi"
"No","Ne"
"Number Added","Broj dodanih"
"Number Fulfilled","Broj ispunjenih"
"Number Of Reviews","Broj recenzija"
"Number Purchased","Broj naručenih"
"Number Viewed","Broj pregledanih"
"Number of Items","Broj stavki"
"Number of New Accounts","Broj novih korisničkih računa"
"Number of Reviews","Broj recenzija"
"Number of Total Tags","Broj svih tagova"
"Number of Unique Tags","Broj jedinstvenih tagova"
"Number of Views","Broj pregledavanja"
"Number of items bought from a wishlist: %s","Broj artikala kupljenih iz liste želja: %s"
"Number of times wishlists have been shared (emailed): %s","Broj koliko puta je lista želja dijeljena (email-om): %s"
"Number of wishlists: %s","Broj listi želja: %s"
"Order Status","Status narudžbe"
"Orders","Narudžbe"
"Out of stock","Nema na skladištu"
"Period","Razdoblje"
"Poducts Report","Izvještaj o proizvodima"
"Popular Tags","Popularni tagovi"
"Popularity","Popularnost"
"Price","Cijena"
"Product Name","Naziv proizvoda"
"Product Reviews","Recenzije proizvoda"
"Product SKU","Proizvod SKU"
"Product Tags","Tagovi proizvoda"
"Products","Proizvodi"
"Products Report","Izvještaj o proizvodima"
"Products Reviews","Recenzije proizvoda"
"Products Tags","Tagovi svih proizvoda"
"Products in carts","Proizvoda u svim košaricama"
"Quantity Ordered","Količina naručenih"
"Quantity of Items","Količina artikala"
"Recently Compared Products","Nedavno uspoređeni proizvodi"
"Recently Viewed","Nedavno pregledano"
"Recently Viewed Products","Nedavno pregledani proizvodi"
"Recently Viewed/Compared Products","Nedavno pregledani/uspoređeni proizvodi"
"Refunds","Povrati"
"Reports","Izvještaji"
"Results","Rezultati"
"Revenue","Sveukupan prihod"
"Review","Recenzija"
"Reviews","Recenzije"
"Sales Report","Izvještaj o prodaji"
"Search Query","Upit pretrage"
"Search Terms","Pojmovi za pretragu"
"Shipping","Pošiljka"
"Shopping Cart","Košarica"
"Shopping Cart Price Rule","Cjenovno pravilo košarice"
"Show for Current","Pokaži za tekući"
"Stock Qty","Količina na skladištu"
"Submitted In","Poslano u"
"Submitted On","Poslano"
"Subtotal","Ulupno"
"Tag","Oznaka"
"Tag ""%s"" details","Tag ""%s"" detalji"
"Tag Detail","Detalj tag-a"
"Tag Name","Ime tag-a"
"Tags submitted to %s","Tag-ovi poslani za %s"
"Tax","Porez"
"Title","Naslov"
"To","Do"
"Total","Ukupno"
"Total Tags","Ukupno tag-ova"
"Total invoiced","Ukupno fakturirano"
"Total refunded","Ukupno refundirano"
"Updated At","Ažurirano u"
"Wishlist Report","Izvještaj o listama želja"
"Wishlist vs. Regular Order","Liste želja vs. klasična narudžba"
"Wishlists","Liste želja"
"Year","Godina"
"Yes","Da"
"Your Recently Compared","Vaše nedavno uspoređeno"
"Your Recently Viewed","Vaše nedavno pregledano"
