"Add New Role","Dodaj novu ulogu"
"Assigned","Dodijeljeno"
"Attribute Set","Set atributa"
"Back","Natrag"
"Backorders","Narudžbe na čekanju"
"Catalog","Katalog"
"City","Grad"
"Company","Poduzeće"
"Country","Država"
"Coupon Code","Kupon kod"
"Create","Kreiraj"
"Customer","Kupac"
"Delete","Obriši"
"Discount","Popust"
"Discount Amount","Iznos popusta"
"Edit","Uredi"
"Edit Role","Ažuriraj ulogu"
"Email","email"
"Exclude","Isključi"
"First Name","Ime"
"Grand Total","Sveukupno"
"Group","Grupa"
"Guest","Gost"
"Label","Labela"
"Last Name","Prezime"
"Maximum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Minimum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Notify for Quantity Below","Upozori na količinu ispod"
"Order","Narudžba"
"Order Comments","Komentari uz narudžbu"
"Order Date","Datum narudžbe"
"Order Status","Status narudžbe"
"Orders","Narudžbe"
"Original Price","Izvorna cijena"
"Payment Method","Način plaćanja"
"Price","Cijena"
"Product","Proizvod"
"Product ID","ID proizvoda"
"Product Type","Vrsta proizvoda"
"Qty","Kol"
"Qty Uses Decimals","Kol koristi decimalnu vrijednost"
"Role Info","Info o ulozi"
"Role Information","Informacije o ulozi"
"Role Name","Naziv uloge"
"Role Users","Korisnici uloge"
"Roles","Uloge"
"Save","Spremi"
"Shipping Amount","Količina za isporuku"
"Shipping Method","Način dostave"
"State","Županija"
"Stock Availability","Dostupnost sa skladišta"
"Store Name","Ime trgovine"
"Subtotal","Ulupno"
"System","Sistem"
"Tax Amount","Iznos poreza"
"Tax Rate","Porezna stopa"
"Total Paid","Ukupno plaćeno"
"Total Refunded","Ukupno refundirano"
"Type","Tip"
"Update","Ažuriraj"
"ZIP/Postal Code","Poštanski broj"
