" for more information or "," für weitere Informationen oder "
"# of Items (and above)","# Anzahl der Artikel (und darüber)"
"# of Items vs. Destination","Anzahl der Artikel gg. Ziel"
"Allow Shipping to Multiple Addresses","Lieferung an mehrere Adressen erlauben"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Carrier:","Versender:"
"City","Stadt"
"Close Window","Fenster schließen"
"Condition","Bedingung"
"Country","Land"
"Custom Value","lb"
"Date","Datum"
"Delivered on:","Zugestellt am:"
"Description","Beschreibung"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Divide to equal weight (one request)","Zu gleichem Gewicht aufteilen (eine Anfrrage)"
"Enabled","Aktiviert"
"Error:","Fehler:"
"Fixed","Festkosten"
"Flat Rate","Versandkostenpauschale"
"Free Shipping","Versandkostenfrei"
"Handling Fee","Bearbeitungsgebühr"
"Import","Importieren"
"Include Virtual Products in Price Calculation","Virtuelle Artikel in Preisberechnung einbeziehen"
"Info:","Information:"
"Local Time","Ortszeit"
"Location","Ort"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximal erlaubte Menge für Versand an mehrere Adressen"
"Method Name","Name der Versandart"
"Minimum Order Amount","Mindestbestellwert"
"N/A","Keine Angabe"
"None","Keine"
"Options","Optionen"
"Order Subtotal (and above)","Zwischensumme der Bestellung (und höher)"
"Origin","Herkunft"
"Per Order","Pro Bestellung"
"Per Package","Pro Paket"
"Percent","Prozent"
"Price","Preis"
"Price vs. Destination","Preis vs. Ziel"
"Region/State","Region/Bundesland"
"Ship to Applicable Countries","Versand in erlaubte Länder"
"Ship to Specific Countries","Versand zu bestimmten Ländern"
"Shipment #","Versand Nr."
"Shipping Methods","Versandarten"
"Shipping Settings","Versand-Einstellungen"
"Shipping Settings Section","Einstellungen für den Versand"
"Show Method if Not Applicable","Versandart zeigen, auch wenn nicht möglich"
"Sort Order","Sortierreihenfolge"
"Store Pickup","Abholung im Laden"
"Street Address","Straße"
"Street Address Line 2","Straße 2. Zeile"
"Table Rates","Tabellenbasierte Versandkosten"
"The shipping module is not available.","Das Versandmodul ist nicht verfügbar."
"There is no tracking available for this shipment.","Für diese Sendung gibt es keine Verfolgung."
"There is no tracking available.","Keine Verfolgung verfügbar."
"Title","Titel"
"Track:","Verfolgung:"
"Tracking Information","Tracking-Informationen"
"Tracking Number:","Trackingnummer:"
"Tracking information is currently not available. Please ","Trackinginformation ist derzeit nicht verfügbar. Bitte "
"Type","Typ"
"Use origin weight (few requests)","Ausgangsgewicht verwenden (mehrere Anfragen)"
"Weight (and above)","Gewicht (und höher)"
"Weight vs. Destination","Gewicht vs. Ziel"
"ZIP/Postal Code","Postleitzahl"
"contact us","kontaktieren Sie uns"
"email us at ","senden Sie uns eine E-Mail an"
