"Catalog","Katalog"
"Click for price","Klicken für Preis"
"Coupons/Discounts","Gutscheine/Rabatte"
"Customer Order Status Notification","Statusbenachrichtigung für Kundenbestellung"
"Discount","Rabatt"
"Enable RSS","RSS einschalten"
"From:","Von:"
"Get Feed","Feed abrufen"
"Gift Message","Geschenknachricht"
"Grand Total","Gesamtsumme"
"Low Stock Products","Produkte mit niedrigem Lagerbestand"
"Message:","Nachricht:"
"Miscellaneous Feeds","Verschiedene Feeds"
"New Orders","Neue Bestellungen"
"New Products","Neue Produkte"
"Order","Bestellung"
"Pending product review(s)","Ausstehende Produktbewertungen"
"RSS Feeds","RSS-Feeds"
"RSS Feeds Section","RSS-Feeds Abschnitt"
"Rss Config","RSS-Konfiguration"
"Shipping &amp; Handling","Versand & Bearbeitung"
"Special Products","Produkte im Angebot"
"Subtotal","Zwischensumme"
"Tax","Steuer"
"To:","Bis:"
"Top Level Category","Hauptkategorie"
"Wishlist","Wunschzettel"
