"-- Please Select --","-- Bitte wählen --"
"Actions","Aktionen"
"Add Layout Update","Layout Update hinzufügen"
"All","Alle"
"All Pages","Alle Seiten"
"All Product Types","Alle Produkttypen"
"Anchor Categories","Anker-Kategorien"
"Apply","Anwenden"
"Assign to Store Views","Zuweisen zu Store Views"
"Big Image","Großes Bild"
"Categories","Kategorien"
"Choose...","Bitte wählen..."
"Close","Schließen"
"Continue","Fortsetzen"
"Default Template","Standardvorlage"
"Delete","Löschen"
"Design Package/Theme","Design-Paket/Thema"
"Export to:","Exportieren nach:"
"Generic Pages","Allgemeine Seiten"
"Images","Bilder"
"Insert Widget","Widget einfügen"
"Layout Updates","Layout Aktualisierungen"
"New Widget Instance","Neue Widget-Instanz"
"Next page","Nächste Seite"
"Non-Anchor Categories","Nicht-Anker-Kategorien"
"Not Selected","Nicht ausgewählt"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Page","Seite"
"Previous page","Vorherige Seite"
"Products","Artikel"
"Remove Layout Update","Layout Update entfernen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select All","Alles auswählen"
"Select Visible","Sichtbare auswählen"
"Settings","Einstellungen"
"Sort Order","Sortierreihenfolge"
"Specified Page","Ausgewählte Seiten"
"Template","Vorlage"
"The information in this tab has been changed.","Die Informationen in diesem Tab wurden geändert."
"The widget instance has been deleted.","Die Widget-Instanz wurde gelöscht."
"The widget instance has been saved.","Die Widget-Instanz wurde gespeichert."
"Thumbnail","Vorschaubild"
"Type","Typ"
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"View","Anzeigen"
"Widget ID","Widget-ID"
"Widget Insertion","Widget einfügen"
"Widget Options","Widget Optionen"
"Widget Type","Widget-Typ"
"per page","pro Seite"
