"-- Please Select --","-- Bitte wählen --"
"Add New Class","Neue Klasse hinzufügen"
"Add New Tax Rate","Neue Steuerrate hinzufügen"
"Add New Tax Rule","Neue Steuerregel hinzufügen"
"After Discount","Nach Rabatt"
"Apply Customer Tax","Verwende Kundensteuerklasse"
"Apply Discount On Prices","Wende Rabatt auf Preise an"
"Apply Tax On","Steuer anwenden auf"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Back","Zurück"
"Before Discount","Vor Rabatt"
"Calculation Settings","Einstellungen für die Berechnung"
"Catalog Prices","Katalogpreise"
"Country","Land"
"Custom price if available","Benutzerdefinierter Preis wenn verfügbar"
"Customer Tax Class","Kundensteuerklasse"
"Customer Tax Classes","Kundensteuerklassen"
"Default Country","Standardland"
"Default Post Code","Standard-Postleitzahl"
"Default State","Standard Bundesland"
"Default Tax Destination Calculation","Steuerberechnung basierend auf"
"Delete Rate","Steuerrate löschen"
"Delete Rule","Regel löschen"
"Display Full Tax Summary","Steuern vollständig anzeigen"
"Display Prices","Preise anzeigen"
"Display Product Prices In Catalog","Artikelpreise im Shop-Frontend"
"Display Shipping Amount","Anzeige von Versandkosten"
"Display Shipping Prices","Versandkosten anzeigen"
"Display Subtotal","Zwischensumme anzeigen"
"Display Zero Tax Subtotal","Steuerzwischensumme auch anzeigen, wenn 0,00"
"Edit Rule","Regel bearbeiten"
"Edit Tax Rate","Steuersatz bearbeiten"
"Enable Cross Border Trade","Grenzüberschreitenden Handel aktivieren"
"Excl. Tax","Exkl. Steuern"
"Excluding Tax","Zuzüglich Steuern"
"Export Tax Rates","Steuersätze exportieren"
"Grand Total (Excl. Tax)","Gesamt (zzgl. Steuern)"
"Grand Total (Excl.Tax)","Gesamt (Netto)"
"Grand Total (Incl. Tax)","Gesamtsumme (inkl. MwSt.)"
"Grand Total (Incl.Tax)","Gesamt (Brutto)"
"Grand Total Excl. Tax","Gesamtsumme zzgl. MwSt."
"Grand Total Incl. Tax","Gesamtsumme inkl. MwSt."
"Import Tax Rates","Steuersätze importieren"
"Inc. Tax","Inkl. Steuern"
"Incl. Tax","Inkl. MwSt."
"Including Tax","Inklusive Steuern"
"Including and Excluding Tax","Inklusive und zuzüglich Steuern"
"Invalid file upload attempt","Ungültiger Datei-Upload-Versuch"
"Tax Rates","Steuersätze"
"Tax Rules","Steuerregeln"
"New Rule","Neue Regel"
"New Tax Rate","Neuer Steuersatz"
"No","Nein"
"None","Keine"
"Orders, Invoices, Credit Memos Display Settings","Anzeigeeinstellungen für Bestellungen, Rechnungen, Gutschriften"
"Original price only","Nur Originalpreis"
"Price Display Settings","Einstellungen für Preisanzeige"
"Priority","Priorität"
"Product Tax Class","Produktsteuerklasse"
"Range From","Von"
"Range To","Bis"
"Range To should be equal or greater than Range From.","""Bereich bis"" sollte gleich oder größer ""Bereich von"" sein."
"Rate","Satz"
"Rate Percent","Rate Prozent"
"Reset","Zurücksetzen"
"Row Total","Pos. Zwischensumme"
"Sales","Verkäufe"
"Save Rate","Steuerrate speichern"
"Save Rule","Regel speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Shipping & Handling (Excl.Tax)","Versand (Netto)"
"Shipping & Handling (Incl.Tax)","Versand (Brutto)"
"Shipping (Excl. Tax)","Versand (zzgl. Steuern)"
"Shipping (Incl. Tax)","Versand (inkl. MwSt.)"
"Shipping Prices","Versandkosten"
"Shopping Cart Display Settings","Warenkorb-Anzeigeeinstellungen"
"Sort Order","Sortierreihenfolge"
"State","Bundesland"
"State/Region","Bundesland / Region"
"Subtotal (Excl. Tax)","Zwischensumme (zzgl. Steuern)"
"Subtotal (Excl.Tax)","Zwischensumme (zzgl. MwSt.)"
"Subtotal (Incl. Tax)","Zwischensumme (inkl. MwSt.)"
"Subtotal (Incl.Tax)","Zwischensumme (inkl. MwSt.)"
"Tax","Steuer"
"Tax Calculation Based On","Steuerberechnung basiert auf"
"Tax Calculation Method Based On","Steuerberechnungsmethode basiert auf"
"Tax Class for Shipping","Steuerklasse für den Versand"
"Tax Classes","Steuerklassen"
"Tax Identifier","Steueridentifikator"
"Tax Rate","Steuersatz"
"Tax Rate Information","Steuersatz Information"
"Tax Rule Information","Steuerregel Informationen"
"Tax Titles","Steuertitel"
"Tax rates at the same priority are added, others are compounded.","Die Steuersätze der gleichen Priorität werden hinzugefügt, andere sind zusammengesetzt."
"The tax rate has been imported.","Der Steuersatz wurde importiert."
"The tax rule has been deleted.","Die Steuerregel wurde wurde gelöscht."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Total","Gesamtsumme"
"Unit Price","Einzelpreis"
"Yes","Ja"
"Zip/Post Code","Postleitzahl"
"Zip/Post is Range","Nur für bestimmte Postleitzahlen"
