"Add","Hinzufügen"
"Add New Row","Neue Zeile einfügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumerisch, Bindestrich und Unterstrich-Zeichen für Dateinamen empfohlen. Unzulässige Zeichen werden mit '_' ersetzt."
"Availability:","Lieferbarkeit:"
"Back","Zurück"
"Canceled","Storniert"
"Date","Datum"
"Default Link Title","Standard-Linktitel"
"Default Maximum Number of Downloads","Standardmäßige maximale Anzahl von Downloads"
"Default Sample Title","Standard-Beispieltitel"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastbestellung deaktivieren, wenn im Warenkorb Downloadprodukte sind"
"Downloadable Information","Downloadinformation"
"Downloadable Product Options","Optionen für Download-Produkte"
"Downloadable Product Section","Abschnitt für Download-Produkte"
"Edit","Bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Excl. Tax","Exkl. Steuern"
"File","Datei"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Guest checkout will only work with shareable.","Unabhängig von dieser Funktion, ist die Gastbestellung bei teilbaren Downloadprodukten nicht möglich."
"In stock","Auf Lager"
"Incl. Tax","Inkl. MwSt."
"Invalid download link type.","Ungültiger Download Link Typ."
"Invoiced","In Rechnung gestellt"
"Links can be purchased separately","Links können separat erworben werden"
"List","Liste"
"Message:","Nachricht:"
"Move","Verschieben"
"My Downloadable Products","Meine Produkte zum herunterladen"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung #"
"Order Item Status to Enable Downloads","Bestellstatus des Produkts, der Download ermöglicht"
"Order id cannot be null","Bestellnummer darf nicht null sein"
"Order item id cannot be null","Die ID des Bestellelements darf nicht 0 sein"
"Ordered","Bestellt"
"Out of stock","Nicht lieferbar"
"Pending","Ausstehend"
"Please set resource file and link type.","Bitte setzen Sie die Ressourcen-Datei und den Link-Typ."
"Please specify product link(s).","Bitte Produktlink(s) angeben."
"Price","Preis"
"Qty","Menge"
"Refunded","Erstattet"
"Remaining Downloads","Verbleibenden Downloads"
"Remove","Entfernen"
"Remove Item","Artikel entfernen"
"SKU","Artikelnummer"
"Sample","Beispiel"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"Shareable","Teilbar"
"Shipped","Versandt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Der angeforderte Inhalt konnte nicht geladen werden. Bitte wenden Siesich an den Shop-Betreiber."
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Subtotal","Zwischensumme"
"The link has expired.","Gültigkeitsdauer des Links ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"Title","Titel"
"To:","Bis:"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Use Content-Disposition","Bereitstellung der Inhalte"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"attachment","Anhang"
"download","herunterladen"
"inline","Inline"
"sample","Beispiel"
