"Add","Hinzufügen"
"Allow Gift Messages for Order Items","Geschenknachricht für bestellte Artikel erlauben"
"Allow Gift Messages on Order Level","Geschenknachrichten auf Bestellebene erlauben"
"Are you sure?","Sind Sie sicher?"
"Cancel","Stornieren"
"Do you have any gift items in your order?","Haben Sie Geschenkartikel in der Bestellung?"
"Edit","Bearbeiten"
"From","Von"
"Gift Message","Geschenknachricht"
"Gift Options","Geschenkoptionen"
"Gift Options for Individual Items","Geschenkoptionen für einzelne Artikel"
"Message","Nachricht"
"No","Nein"
"Save Gift Message","Geschenknachricht speichern"
"To","Bis"
"Unknown entity type","Unbekannter Entity Type"
"Use config","Konfiguration verwenden"
"Yes","Ja"
