"Action","Aktion"
"Add Sitemap","Sitemap hinzufügen"
"Always","Immer"
"CMS Pages Options","CMS-Seiten-Optionen"
"Categories Options","Kategorienoptionen"
"Daily","Täglich"
"Edit Sitemap","Sitemap bearbeiten"
"Enabled","Aktiviert"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Filename","Dateiname"
"Frequency","Häufigkeit"
"Generate","Erstellen"
"Generation Settings","Erstellungseinstellungen"
"Hourly","Stündlich"
"ID","Id"
"Link for Google","Link für Google"
"Monthly","Monatlich"
"Never","Niemals"
"New Sitemap","Neue Sitemap"
"Path","Pfad"
"Priority","Priorität"
"Products Options","Produkt-Optionen"
"Sitemap generate Warnings","Warnungen bei der Sitemap-Erstellung"
"Start Time","Startzeit"
"The priority must be between 0 and 1.","Die Priorität muss zwischen 0 und 1 liegen."
"This sitemap no longer exists.","Diese Sitemap ist nicht mehr vorhanden."
"Weekly","Wöchentlich"
"Yearly","Jährlich"
