"2nd Day Air","2. Tag Luftpost"
"2nd Day Air AM","2. Tag Luftpost Vormittags"
"3 Day Select","3 Tage Select"
"Allowed Methods","Zulässige Methoden"
"Commercial","Gewerblich"
"Debug","Debuggen"
"Enable","Aktivieren"
"Express Saver","Expresslieferung"
"First Overnight","Übernacht-Zustellung"
"Free Shipping","Versandkostenfrei"
"Ground","Erdgeschoss"
"Home Delivery","Hauszustellung"
"Inches","Zoll"
"Location","Ort"
"Merchant ID","Verkäufer ID"
"Method","Methode"
"New Order Status","Neuer Bestellstatus"
"Next Day Air","Nächster Tag Luftpost"
"Next Day Air Early AM","Nächster Tag Luftpost früher Vormittag"
"Next Day Air Saver","Nächster Tag Luftpost Saver"
"No","Nein"
"Priority Overnight","Priorität über Nacht-Zustellung"
"Residential","Auf den Wohnsitz bezogen"
"Standard Overnight","Standard Overnight Lieferung"
"Title","Titel"
"Yes","Ja"
