"Advanced Search","Erweiterte Suche"
"All","Alle"
"Catalog Advanced Search","Erweiterte Katalogsuche"
"Catalog Search","Katalogsuche"
"Don't see what you're looking for?","Nicht gefunden, wonach Sie suchen?"
"Go to Home Page","Zur Startseite"
"Grid","Liste"
"Home","Startseite"
"List","Liste"
"Maximum Query Length","Maximale Suchbegriff-Länge"
"Minimal Query Length","Minimale Suchbegriff-Länge"
"No","Nein"
"Popular Search Terms","Beliebte Suchbegriffe"
"Rebuild Catalog product fulltext search index","Index der Katalog Volltextsuche neu erstellen"
"Relevance","Relevanz"
"Results","Ergebnisse"
"Search","Suche"
"Search Settings","Sucheinstellungen"
"Search Terms","Suchbegriffe"
"Search entire store here...","Gesamten Shop hier durchsuchen..."
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Yes","Ja"
