"-- Please Select --","-- Bitte wählen --"
"1 column","1 Spalte"
"2 columns with left bar","2 Spalten mit linker Spalte"
"2 columns with right bar","2 Spalten mit rechter Spalte"
"3 columns","3 Spalten"
"About the calendar","Über den Kalender"
"Account","Konto"
"All Pages","Alle Seiten"
"Allow","Erlauben"
"Close","Schließen"
"Close Window","Fenster schließen"
"Default welcome msg!","Standard-Willkommensnachricht!"
"Empty","Zeige"
"Go Today","Heute"
"JavaScript seems to be disabled in your browser.","JavaScript scheint in Ihrem Browser deaktiviert zu sein."
"Left Column","Linke Spalte"
"Menu","Menü"
"Next","Weiter"
"Page:","Seite:"
"Previous","Zurück"
"Report All Bugs","Melden Sie alle Fehler"
"Right Column","Rechte Spalte"
"Search","Suche"
"Select Store","Store wählen"
"Show","Anzeigen"
"View All","Alle anzeigen"
"Your Language","Ihre Sprache"
"Your Language:","Ihre Sprache:"
"per page","pro Seite"
