"Add New Rating","Neue Bewertung hinzufügen"
"Assigned Options","Zugeordnete Optionen"
"Be the first to review this product","Seien Sie der Erste, der dieses Produkt bewertet"
"Default Value","Standardwert"
"Delete Rating","Bewertung löschen"
"ID","Id"
"New Rating","Neue Bewertung"
"Option Title","Titel Option"
"Option Title:","Optionstitel:"
"Rating Information","Bewertungsinformationen"
"Rating Title","Bewertungstitel"
"Rating Visibility","Bewertungssichtbarkeit"
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Save Rating","Bewertung speichern"
"Sort Order","Sortierreihenfolge"
