"Account Number","ಖಾತೆ ಸಂಖ್ಯೆ"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Google API","ಗೂಗಲ್ API"
"Google Analytics","ಗೂಗಲ್ ವಿಶ್ಲೇಶಣೆಗಳು"
"Type","ವಿಧ"
