"Actions","ಕ್ರಿಯೆಗಳು"
"Closed","ಮುಚ್ಚಿದ"
"Delete","ಅಳಿಸಿ"
"Open","ತೆರೆ"
"Status","ಸ್ಥಿತಿ"
