"--Please Select--","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"API Login ID","API ಲಾಗಿನ್ ID"
"Accepted Currency","ಅಂಗೀಕರಿಸುವ ಕರೆನ್ಸಿ"
"Card Verification Number","ಕಾರ್ಡಿನ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆ"
"Close","ಮುಚ್ಚಿರಿ"
"Credit Card Information","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಮಾಹಿತಿ"
"Credit Card Number","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Credit Card Type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Types","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Verification","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನೆ"
"Debug","ಡೀಬಗ್"
"Email Customer","ಗ್ರಾಹಕರಿಗೆ ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"Maximum Order Total","ಗರಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Merchant MD5","ವರ್ತಕರ MD5"
"Merchant's Email","ವರ್ತಕರ ಮಿಂಚೆ"
"Minimum Order Total","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Payment from Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Payment from Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Title","ಶೀರ್ಷಿಕೆ"
"Transaction Key","ವಹಿವಾಟಿನ ಕೀ"
"What is this?","ಇದು ಏನು?"
