"10 minutes","10 ನಿಮಿಷಗಳು"
"15 minutes","15 ನಿಮಿಷಗಳು"
"20 minutes","20 ನಿಮಿಷಗಳು"
"30 minutes","30 ನಿಮಿಷಗಳು"
"5 minutes","5 ನಿಮಿಷಗಳು"
"Daily","ದೈನಿಕ"
"Hourly","ಪ್ರತಿ ಘಂಟೆಗೆ"
"Minute Intervals","ನಿಮಿಷದ ವಿರಾಮಗಳು"
"Monthly","ಮಾಸಿಕ"
"Weekly","ಸಾಪ್ತಾಹಿಕ"
