"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"-- Select --","-- ಆರಿಸಿ --"
"Add New Option","ಹೊಸ ಆಯ್ಕೆಯನ್ನು ಸೇರಿಸಿ"
"As Low as","ಅತಿ ಕಡಿಮೆ"
"As low as","ಅತಿ ಕಡಿಮೆ"
"Choose a selection...","ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ..."
"Click for price","ದರಕ್ಕಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Default Title","ನಿಯೋಜಿತ ಶೀರ್ಷಿಕೆ"
"Dynamic","ಕ್ರಿಯಾಶೀಲ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Fixed","ಸ್ಥಿರ"
"From","ಇಂದ"
"From:","ಇಂದ:"
"Gift Message","ಕೊಡುಗೆ ಸಂದೇಶ"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Input Type","ಇನ್ಪುಟ್ ವಿಧ"
"Is Required","ಅಗತ್ಯವಿದೆ"
"Message:","ಸಂದೇಶ:"
"Multiple Select","ಬಹುಆಯ್ಕೆ"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Percent","ಶೇಕಡ"
"Percent Discount","ಶೇಕಡಾ ರಿಯಾಯಿತಿ"
"Please enter a number greater 0 in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Position","ಸ್ಥಾನ"
"Price Range","ಬೆಲೆಯ ಶ್ರೇಣಿ"
"Price Type","ದರದ ವಿಧ"
"Qty:","ಪರಿಮಾಣ:"
"Radio Buttons","ರೇಡಿಯೊ ಗುಂಡಿಗಳು"
"Separately","ಪ್ರತ್ಯೇಕವಾಗಿ"
"Shipment","ರವಾನೆ"
"Store View Title","ಮಳಿಗೆ ನೋಟದ ಶೀರ್ಶಿಕೆ"
"To","ಗೆ"
"To:","ಗೆ:"
"Together","ಜೊತೆಯಾಗಿ"
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"save","ಉಳಿಸಿ"
