"Action","ಕ್ರಿಯೆ"
"Always","ಯಾವಾಗಲೂ"
"Categories Options","ವಿಭಾಗಗಳ ಆಯ್ಕೆಗಳು"
"Daily","ದೈನಿಕ"
"Edit Sitemap","ವಸ್ತುವನ್ನು ಸಂಪಾದಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Error Email Sender","ದೋಷ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Error Email Template","ದೋಷ ಮಿಂಚೆಯ ಮಾದರಿ"
"Frequency","ಆವರ್ತನ"
"Generate","ಉತ್ಪಾದಿಸಿ"
"Generation Settings","ಉತ್ಪಾದನೆ ಸಂಯೋಜನೆಗಳು"
"Hourly","ಪ್ರತಿ ಘಂಟೆಗೆ"
"Monthly","ಮಾಸಿಕ"
"Never","ಎಂದಿಗೂ ಇಲ್ಲ"
"Path","ಪಥ"
"Priority","ಆದ್ಯತೆ"
"Products Options","ಉತ್ಪನ್ನದ ಆಯ್ಕೆಗಳು"
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Weekly","ಸಾಪ್ತಾಹಿಕ"
"Yearly","ವಾರ್ಷಿಕ"
