"Assigned Options","ನಿಯೋಜಿಸಿದ ಆಯ್ಕೆಗಳು"
"Be the first to review this product","ಈ ಉತ್ಪನ್ನವನ್ನು ವಿಮರ್ಶಿಸುವಲ್ಲಿ ಮೊದಲಿಗರಾಗಿ"
"Default Value","ನಿಯೋಜಿತ ನಮೂದು"
"Option Title","ಆಯ್ಕೆಯ ಶೀರ್ಷಿಕೆ"
"Option Title:","ಆಯ್ಕೆಯ ಶೀರ್ಷಿಕೆ:"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
