"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Actions","ಕ್ರಿಯೆಗಳು"
"Add Layout Update","ವಿನ್ಯಾಸ ಪರಿಷ್ಕರಣೆಯನ್ನು ಸೇರಿಸಿ"
"All","ಎಲ್ಲಾ"
"All Pages","ಎಲ್ಲಾ ಪುಟಗಳು"
"All Product Types","ಎಲ್ಲಾ ಉತ್ಪನ್ನದ ವಿಧಗಳು"
"Anchor Categories","ಆಂಕರ್ ವಿಭಾಗಗಳು"
"Apply","ಅನ್ವಯಿಸಿ"
"Assign to Store Views","ಮಳಿಗೆ ನೋಟಗಳಿಗೆ ಅನ್ವಯಿಸಿ"
"Big Image","ದೊಡ್ಡ ಚಿತ್ರ"
"Categories","ವಿಭಾಗಗಳು"
"Choose...","ಆರಿಸಿ..."
"Close","ಮುಚ್ಚಿರಿ"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Delete","ಅಳಿಸಿ"
"Export to:","ಇಲ್ಲಿಗೆ ರಫ್ತುಮಾಡಿ:"
"Generic Pages","ಸಾಮಾನ್ಯ ಪುಟಗಳು"
"Images","ಚಿತ್ರಗಳು"
"Insert Widget","ವಿಜೆಟ್ ಅನ್ನು ಸೇರಿಸಿ"
"Layout Updates","ವಿನ್ಯಾಸ ಪರಿಷ್ಕರಣೆಗಳು"
"Next page","ಮುಂದಿನ ಪುಟ"
"Not Selected","ಆರಿಸಿಲ್ಲ"
"Page","ಪುಟ"
"Previous page","ಹಿಂದಿನ ಪುಟ"
"Products","ಉತ್ಪನ್ನಗಳು"
"Remove Layout Update","ವಿನ್ಯಾಸ ಪರಿಷ್ಕರಣೆಯನ್ನು ತೆಗೆದುಹಾಕಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Select All","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Select Visible","ಕಾಣುತ್ತಿರುವುವುಗಳನ್ನು ಆರಿಸಿ"
"Settings","ಸಂಯೋಜನೆಗಳು"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Specified Page","ಸೂಚಿತ ಪುಟ"
"Template","ಮಾದರಿ"
"Thumbnail","ಕಿರುಚಿತ್ರ"
"Type","ವಿಧ"
"View","ನೋಟ"
"Widget","ವಿಜೆಟ್"
"Widget ID","ವಿಜೆಟ್ ಐಡಿ"
"Widget Insertion","ವಿಜೆಟ್ ಸೇರಿಸುವಿಕೆ"
"Widget Options","ವಿಜೆಟ್ ಆಯ್ಕೆಗಳು"
"Widget Type","ವಿಜೆಟ್ ವಿಧ"
"Widgets","ವಿಜೆಟ್‍ಗಳು"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
