"Add Option","ಆಯ್ಕೆಯನ್ನು ಸೇರಿಸಿ"
"Attribute Code","ಗುಣವಿಶೇಷ ಸಂಕೇತ"
"Attribute Label","ಗುಣವಿಶೇಷ ಲೇಬಲ್"
"Date","ದಿನಾಂಕ"
"Decimal Number","ದಶಮಾನ ಸಂಖ್ಯೆ"
"Default Value","ನಿಯೋಜಿತ ನಮೂದು"
"Delete","ಅಳಿಸಿ"
"Email","ಮಿಂಚೆ"
"Invalid date","ಅಸಿಂಧುವಾದ ದಿನಾಂಕ"
"Letters","ಅಕ್ಷರಗಳು"
"Multiple Select","ಬಹುಆಯ್ಕೆ"
"No","ಇಲ್ಲ"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Required","ಅಗತ್ಯವಿದೆ"
"System","ವ್ಯವಸ್ಥೆ"
"Text Area","ಪಠ್ಯದ ಸ್ಥಳ"
"Values Required","ನಮೂದುಗಳು ಅಗತ್ಯವಿದೆ"
"Yes","ಹೌದು"
"Yes/No","ಹೌದು/ಇಲ್ಲ"
