"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"1 column","1 ಉದ್ದಸಾಲುಗಳು"
"3 columns","3 ಉದ್ದಸಾಲುಗಳು"
"About the calendar","ದಿನದರ್ಶಿಕೆ ಬಗ್ಗೆ"
"Account","ಖಾತೆ"
"All Pages","ಎಲ್ಲಾ ಪುಟಗಳು"
"Allow","ಅನುಮತಿಸಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Default welcome msg!","ನಿಯೋಜಿತ ಸ್ವಾಗತ ಮಿಂಚೆ!"
"Empty","ಖಾಲಿ"
"Go Today","ಇಂದಿನ ದಿನಕ್ಕೆ ತೆರಳಿ"
"Left Column","ಏಡಬದಿ ಕಾಲಂ"
"Menu","ಮೆನು"
"Next","ಮುಂದೆ"
"Page:","ಪುಟ:"
"Previous","ಹಿಂದಿನ"
"Report All Bugs","ಎಲ್ಲಾ ಬಗ್ಗುಗಳನ್ನು ವರದಿ ಮಾಡಿ"
"Right Column","ಬಲಬದಿ ಕಾಲಂ"
"Search","ಹುಡುಕಿ"
"Select Store","ಮಳಿಗೆ ಆರಿಸಿ"
"Show","ಪ್ರದರ್ಶಿಸಿ"
"View All","ಎಲ್ಲವನ್ನೂ ವೀಕ್ಷಿಸಿ"
"Your Language","ನಿಮ್ಮ ಭಾಷೆ"
"Your Language:","ನಿಮ್ಮ ಭಾಷೆ:"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
