"API Login ID","API ಲಾಗಿನ್ ID"
"Accepted Currency","ಅಂಗೀಕರಿಸುವ ಕರೆನ್ಸಿ"
"Authorize Only","ದೃಢೀಕರಣ ಮಾತ್ರ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Credit Card Types","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Verification","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನೆ"
"Debug","ಡೀಬಗ್"
"Email Customer","ಗ್ರಾಹಕರಿಗೆ ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Invalid amount for refund.","ಮರುಪಾವತಿಗೆ ಅಮಾನ್ಯವಾದ ಮೊತ್ತ."
"Maximum Order Total","ಗರಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Merchant's Email","ವರ್ತಕರ ಮಿಂಚೆ"
"Minimum Order Total","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Payment from Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Payment from Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Title","ಶೀರ್ಷಿಕೆ"
"Transaction Key","ವಹಿವಾಟಿನ ಕೀ"
"authorize","ದೃಢೀಕರಿಸಿ"
"failed","ವಿಫಲಗೊಂಡಿದೆ"
"refund","ಮರುಪಾವತಿಸಿ"
"successful","ಯಶಸ್ವಿಯಾಗಿದೆ"
