"Access Key","ಅನುಮತಿ ಸಂಕೇತ"
"Authorize Only","ದೃಢೀಕರಣ ಮಾತ್ರ"
"Continue Shopping","ಶಾಪಿಂಗ್ ಮುಂದುವರೆಸಿ"
"Debug","ಡೀಬಗ್"
"Email Sender","ಮಿಂಚೆ ರವಾನೆದಾರ"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Merchant ID","ವರ್ತಕರ ಐಡಿ"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Secret Key","ರಹಸ್ಯ ಸಂಕೇತ"
"Thank you for your purchase!","ನಿಮ್ಮ ಖರೀದಿಗಾಗಿ ಧನ್ಯವಾದಗಳು!"
"Title","ಶೀರ್ಷಿಕೆ"
