"Complete","ಪೂರ್ಣಗೊಂಡಿದೆ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Upload Files","ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
