"Currency","ಕರೆನ್ಸಿ"
"Manage Currency Rates","ಕರೆನ್ಸಿ ದರಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Save Currency Symbols","ಕರೆನ್ಸಿ ಸಂಕೇತಗಳನ್ನು ಉಳಿಸಿ"
"System","ವ್ಯವಸ್ಥೆ"
