"Allow for Guests","ಅತಿಥಿಗಳನ್ನು ಅನುಮತಿಸಿ"
"Back","ಹಿಂದೆ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Email Address:","ಮಿಂಚೆ ವಿಳಾಸ:"
"Email Templates","ಮಿಂಚೆಯ ಮಾದರಿಗಳು"
"Email to a Friend","ಗೆಳೆಯನಿಗೆ ಮಿಂಚೆ ಕಳಿಸಿ"
"Email:","ಮಿಂಚೆ:"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Max Recipients","ಗರಿಷ್ಟ ಸ್ವೀಕೃತಿದಾರರು"
"Message:","ಸಂದೇಶ:"
"Name","ಹೆಸರು"
"Send Email","ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Some emails were not sent.","ಕೆಲವು ಮಿಂಚೆಗಳನ್ನು ಕಳುಹಿಸಿಲ್ಲ."
