"Action","ಕ್ರಿಯೆ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"Add to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Any","ಯಾವುದೇ"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Bestsellers","ಅತಿಹೆಚ್ಚು ಮಾರಾಟವಾಗುವ"
"Carts","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗಳು"
"Compared Products Grid Template","ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳ ಗ್ರಿಡ್ ಮಾದರಿ"
"Compared Products List Template","ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ಮಾದರಿ"
"Coupons","ಕೂಪನ್ ಗಳು"
"Coupons Usage Report","ಕೂಪನ್‍ಗಳ ಬಳಕೆಯ ವರದಿ"
"Created At","ರಚಿಸಿದ ದಿನಾಂಕ"
"Customer","ಗ್ರಾಹಕರು"
"Customer Name","ಗ್ರಾಹಕರ ಹೆಸರು"
"Customers","ಗ್ರಾಹಕರು"
"Customers Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Day","ದಿನ"
"Description","ವಿವರಣೆ"
"Detail","ವಿವರ"
"Downloads","ಇಳಿಕೆಗಳು"
"Email","ಮಿಂಚೆ"
"Empty Rows","ಖಾಲಿ ಸಾಲುಗಳು"
"Filter","ಶೋಧಕ"
"First Name","ಮೊದಲ ಹೆಸರು"
"From","ಇಂದ"
"General","ಸಾಮಾನ್ಯ"
"Guest","ಅತಿಥಿ"
"Hits","ಭೇಟಿಗಳು"
"IP Address","IP ವಿಳಾಸ"
"Items in Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Link","ಕೊಂಡಿ"
"List of Products Recently Viewed by Visitor","ಸಂದರ್ಶಕರಿಂದ ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಲಾದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ"
"Month","ತಿಂಗಳು"
"Most Viewed","ಹೆಚ್ಚು ವೀಕ್ಷಿಸಿದ"
"Name","ಹೆಸರು"
"New Accounts","ಹೊಸ ಖಾತೆಗಳು"
"No","ಇಲ್ಲ"
"Number of Items","ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"Number of Products to display","ಪ್ರದರ್ಶಿಸಲು ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Order Status","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Orders","ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Price","ದರ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Products","ಉತ್ಪನ್ನಗಳು"
"Products Ordered","ವ್ಯಾಪಾರಾದೇಶಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Products Report","ಉತ್ಪನ್ನಗಳ ವರದಿ"
"Products Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Purchases","ಖರೀದಿಗಳು"
"Recently Compared","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಕೆಯಾದವುಗಳು"
"Recently Compared Products","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Recently Viewed","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ"
"Recently Viewed Products","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Recently Viewed/Compared Products","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ/ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Refunds","ಮರುಪಾವತಿಗಳು"
"Report","ವರದಿ"
"Reports","ವರದಿಗಳು"
"Results","ಫಲಿತಾಂಶಗಳು"
"Revenue","ಆದಾಯ"
"Review","ವಿಮರ್ಶೆ"
"Reviews","ವಿಮರ್ಶೆಗಳು"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Search Terms","ಪದಗಳನ್ನು ಹುಡುಕಿ"
"Shipping","ರವಾನೆ"
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Show Report","ವರದಿ ಪ್ರದರ್ಶಿಸಿ"
"Specified","ಸೂಚಿತ"
"Subtotal","ಉಪಮೊತ್ತ"
"Tax","ತೆರಿಗೆ"
"Title","ಶೀರ್ಷಿಕೆ"
"To","ಗೆ"
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Updated At","ಪರಿಷ್ಕರಿಸಿದ ದಿನಾಂಕ"
"Viewed Products Grid Template","ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳ ಗ್ರಿಡ್ ಮಾದರಿ"
"Viewed Products List Template","ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ಮಾದರಿ"
"Year","ವರ್ಷ"
"Yes","ಹೌದು"
