"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Choose an Option...","ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ..."
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"General Settings","ಸಾಮಾನ್ಯ ಸಂಯೋಜನೆಗಳು"
"Height","ಎತ್ತರ"
"In Stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Out of Stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Previous","ಹಿಂದಿನ"
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Width","ಅಗಲ"
