"Continue Shopping","ખરીદારી ચાલુ રાખો"
"Email Sender","ઇમેઇલ પ્રેષક"
"Enable","
                    સક્ષમ કરો
                "
"New Order Status","નવી ઓર્ડર સ્થિતિ"
"Thank you for your purchase!","ખરીદવા માટે આભાર!"
"Title","શીર્ષક"
