"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"Attribute Code","એટ્રિબ્યુટ કોડ"
"Attribute Label","એટ્રિબ્યુટ લેબલ"
"Customers","ગ્રાહકો"
"Export","
                    નિકાસ
                "
"From","થી"
"Import","આયાત કરો"
"Products","ઉત્પાદનો"
"Status","સ્થિતિ"
"There are no product types available for export","નિકાસ માટે કોઈ પ્રકારનાં ઉત્પાદન ઉપલબ્ધ નથી."
"To","થી"
