"Configuration","રૂપરેખાંકન"
"Confirm Password","પાસવર્ડની પુષ્ટિ કરો"
"Continue","ચાલુ રાખો"
"Database","ડેટાબેઝ"
"Download","ડાઉનલોડ કરો"
"Email","
                    ઇમેલ
                "
"Email Address","ઈ - મેઈલ સરનામું"
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"Last Name","
                    અટક
                "
"Password","પાસવર્ડ"
"Password Confirmation","
                    પાસવર્ડ ખાતરી
                "
"Personal Information","વ્યક્તિગત માહિતી"
"Report All Bugs","બધી બગ્સની જાણ કરો"
"User Name","વપરાશકર્તા નામ"
"User Password","વપરાશકર્તા પાસવર્ડ"
"Username","વપરાશકર્તા નામ"
