"Action","ક્રિયા"
"Delete","
                    કાઢી નાખો
                "
"Description","વર્ણન"
"Disable","
                    અક્ષમ કરો
                "
"Enable","
                    સક્ષમ કરો
                "
"General","
                    સામાન્ય
                "
"Never","ક્યારેય"
"No","ના"
"Processing","પ્રક્રિયા"
"Refresh","
                    પુનઃતાજું કરો
                "
"Status","સ્થિતિ"
"System","સિસ્ટમ"
"Yes","હા"
