"-- Please Select --","-- Iltimos tanlang --"
"About the calendar","Taqvim haqida"
"Account","Boshqaruv paneli"
"Close","Yoping"
"Go Today","Bugungi kunga borish"
"Left Column","Chap ustun"
"Menu","Menyu"
"Next","Keyingi"
"Previous","Avvalgi"
"Right Column","O'ng ustun"
"Search","Qidiruv"
"per page","bir sahifa uchun"
