"Action","Harakat"
"Are you sure you want to delete the selected backup(s)?","Siz tanlagan zahira(lar) ni o'chirmoqchimisiz?"
"Backups","Zaxiralashlar"
"Create Backup","Zahira nusxasini yarating"
"Database","Ma'lumotlar bazasi"
"Database Backup","Ma'lumotlar bazasini zahiralash"
"Database and Media","Ma'lumotlar bazasi va media fayllari"
"Database and Media Backup","Ma'lumotlar bazasi va media zaxiralash"
"Download","Yuklab oling"
"Enable Scheduled Backup","Jadvaldagi zaxirani yoqish"
"Frequency","Muntazamlik"
"Maintenance Mode","Xizmat rejimi"
"Name","Ism"
"Rollback","Orqaga qaytish"
"Start Time","Boshlanish vaqti"
"System","Tizim"
"System (excluding Media)","Tizim (Mediadan tashqari)"
"System Backup","Tizimni zaxiralash"
"Time","Vaqt"
"Type","Turi"
