"Availability:","Mavjudligi:"
"Back","Orqaga"
"Canceled","Bekor qilindi"
"Delete","O‘chirish"
"Edit","Tahrirlash"
"Edit item parameters","Elementni parametrlarini tahrirlash"
"Excl. Tax","Soliqlarsiz"
"File","Fayl"
"From:","Kimdan:"
"Gift Message","Sovg'a xabarlari"
"In stock","Omborda mavjud"
"Incl. Tax","Soliqlar bilan"
"Invoiced","Xarajatlar"
"Message:","Xabar:"
"Ordered","Buyurtma qilingan"
"Out of stock","Sotib bo'lingan"
"Price","Narx"
"Qty","Soni"
"Refunded","Qaytarildi"
"Remove","O'chirish"
"See price before order confirmation.","Buyurtmani tasdiqlashdan oldin narxni tekshiring."
"Shipped","Yuborildi"
"Sort Order","Saralash tartibi"
"Status","Holat"
"Subtotal","Jami summ"
"Title","Sarlavha"
"To:","Kimga:"
"Use Default Value","Standart qiymatdan foydalaning"
"What's this?","Bu nima?"
