"-- Please Select --","-- Iltimos tanlang --"
"Add to Cart","Savatchaga qo'shish"
"Enabled","Yoqish"
"General Settings","Umumiy sozlamalar"
"Previous","Avvalgi"
"Remove This Item","Ushbu narsani o'chirish"
