"-- Please Select --","-- Iltimos tanlang --"
"Are you sure you want to do this?","Buni xohlayotganingizga aminmisiz?"
"Back","Orqaga"
"Code","Kod"
"Country","Mamlakat"
"Default Country","Odatiy Davlat"
"Excl. Tax","Soliqlarsiz"
"Incl. Tax","Soliqlar bilan"
"Name","Ism"
"No","Yo'q"
"None","Yo'q"
"Reset","Qayta o'rnatish"
"Row Total","Umumiy satrlar"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Sort Order","Saralash tartibi"
"Tax","Soliq"
"This rule no longer exists.","Bu qoida mavjud emas."
"Total","Jami"
"Yes","Ha"
