"Action","Harakat"
"Add to Cart","Savatchaga qo'shish"
"Are you sure you want to do this?","Buni xohlayotganingizga aminmisiz?"
"Are you sure?","Ishonchingiz komilmi?"
"Back","Orqaga"
"Block Information","Bloklash ma'lumoti"
"Country","Mamlakat"
"Customers","Xaridorlar"
"Delete","O‘chirish"
"Disabled","O'chirish"
"First Name","Ism"
"Last Name","Familiya"
"Name","Ism"
"Price","Narx"
"Product Name","Mahsulot nomi"
"Products","Mahsulotlar"
"Remove","O'chirish"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Status","Holat"
"Store View","Do'konning ko'rinishi"
"Tags","Teglar"
