"Action","Harakat"
"Add to Cart","Savatchaga qo'shish"
"Any","Har qanday"
"Are you sure?","Ishonchingiz komilmi?"
"Bestsellers","Eng ko'p sotilganlar"
"Created At","Yaratildi"
"Customer","Xaridor"
"Customers","Xaridorlar"
"Dashboard","Boshqaruv paneli"
"Description","Ta'rif"
"First Name","Ism"
"From","-dan"
"General","Asosiy"
"Guest","Mehmon"
"Invoiced","Xarajatlar"
"Last Name","Familiya"
"Name","Ism"
"No","Yo'q"
"Order Status","Buyurtma holati"
"Orders","Buyurtmalar"
"Out of stock","Sotib bo'lingan"
"Price","Narx"
"Product Name","Mahsulot nomi"
"Products","Mahsulotlar"
"Results","Natijalar"
"Revenue","Daromad"
"Search Query","Qidiruv so'rovi"
"Shipping","Yetkazib berish"
"Shopping Cart","Savatcha"
"Subtotal","Jami summ"
"Tax","Soliq"
"Title","Sarlavha"
"To","-ga"
"Total","Jami"
"Yes","Ha"
