"API Login ID","API kirish identifikatori"
"Accepted Currency","Qabul qilingan valyuta"
"Authorize Only","Faqat avtorizatsiya qiling"
"Authorize and Capture","Ruxsat berish va qabul qilish"
"Cancel","Bekor qilish"
"Credit Card Types","Kredit kartasi turlari"
"Credit Card Verification","Kredit kartalarini tekshirish"
"Debug","Xatolarni tuzatish"
"Email Customer","Mijozning email manzili"
"Enabled","Yoqish"
"Invalid amount for capture.","Yozuv hajmi noto'g'ri."
"Invalid amount for refund.","Qaytariladigan pul miqdori noto'g'ri."
"Maximum Order Total","Maksimal Buyurtma miqdori"
"Merchant's Email","Sotuvchining email manzili"
"Minimum Order Total","Minimal buyurtma miqdori"
"New Order Status","Yangi buyurtma holati"
"Payment Action","To'lov turi"
"Payment capturing error.","To'lovni ro'yxatga olishda xatolik yuz berdi."
"Payment from Applicable Countries","Qo'llaniladigan mamlakatlar to'lovi"
"Payment from Specific Countries","Muayyan mamlakatlardan to'lov"
"Payment refunding error.","To'lovni qaytarishda xatolik."
"Payment voiding error.","To'lovni bekor qilishda xatolik yuz berdi."
"Sort Order","Saralash tartibi"
"Test Mode","Sinov holati"
"Title","Sarlavha"
"Transaction Key","Jurnal kaliti"
"authorize","avtorizatsiya"
"authorize and capture","avtorizatsiyalash va ro'yxatga olish"
"capture","ro'yxatga olish"
"failed","xatolik"
"refund","qaytarib berish"
"successful","muvaffaqiyatli"
"void","bekor qilindi"
