"--Please Select--","--Iltimos tanlang--"
"API Login ID","API kirish identifikatori"
"Accepted Currency","Qabul qilingan valyuta"
"Authorize.net Direct Post","To'g'ridan-to'g'ri xabar Authorize.Net"
"Card Verification Number","Karta tasdiqlash kodi"
"Close","Yoping"
"Credit Card Information","Kredit kartasi ma'lumotlari"
"Credit Card Number","Kredit karta raqami"
"Credit Card Type","Kredit kartasi turi"
"Credit Card Types","Kredit kartasi turlari"
"Credit Card Verification","Kredit kartalarini tekshirish"
"Debug","Xatolarni tuzatish"
"Email Customer","Mijozning email manzili"
"Enabled","Yoqish"
"Expiration Date","Amal qilish muddati"
"Gateway URL","Gateway URL manzili"
"Maximum Order Total","Maksimal Buyurtma miqdori"
"Merchant's Email","Sotuvchining email manzili"
"Minimum Order Total","Minimal buyurtma miqdori"
"New Order Status","Yangi buyurtma holati"
"Payment Action","To'lov turi"
"Payment from Applicable Countries","Qo'llaniladigan mamlakatlar to'lovi"
"Payment from Specific Countries","Muayyan mamlakatlardan to'lov"
"Sort Order","Saralash tartibi"
"Test Mode","Sinov holati"
"Title","Sarlavha"
"Transaction Key","Jurnal kaliti"
"What is this?","Bu nima?"
