"* Required Fields","* Verplichte velden"
"-- Select --","-- Selecteer --"
"Add New Option","Optie toevoegen"
"As Low as","Vanaf"
"As low as","Vanaf"
"Bundle Items","Bundel-artikelen"
"Checkbox","Selectievakje"
"Choose a selection...","Kies een optie&hellip;"
"Click for price","Klik voor de prijs"
"Close","Sluiten"
"Default","Standaard"
"Default Qty","Standaard-aantal"
"Default Title","Standaardtitel"
"Dynamic","Dynamisch"
"Excl. Tax","Excl. BTW"
"Fixed","Vast"
"From","Van"
"From:","Van:"
"Gift Message","Cadeau-bericht"
"Incl. Tax","Incl. BTW"
"Input Type","Invoertype"
"Is Required","Is Vereist"
"Message:","Bericht:"
"Multiple Select","Multi-select"
"N/A","n.v.t."
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"None","Geen"
"Percent","Percentage"
"Percent Discount","Kortingspercentage"
"Please Select Products to Add","Selecteer Alstublieft Producten om Toe te Voegen"
"Please enter a number greater 0 in this field.","Vul een getal groter dan 0 in."
"Please specify product option(s).","Geef productoptie(s) op."
"Position","Positie"
"Price Range","Prijsrange"
"Price Type","Prijstype"
"Qty:","Aantal:"
"Radio Buttons","Radio buttons"
"SKU","Art.nr."
"Separately","Apart"
"Ship Bundle Items","Bundel-artikelen verzenden"
"Shipment","Verzending"
"Store View Title","Winkelaanzicht Titel"
"To","Aan"
"To:","Tot:"
"Together","Samen"
"Use Default Value","Gebruik standaard waarde"
"save","bewaar"
