"-- Please Select --","-- Selecteer --"
"1 column","1 kolom"
"2 columns with left bar","2 kolommen met linker balk"
"2 columns with right bar","2 kolommen met rechter balk"
"3 columns","3 kolommen"
"About the calendar","Over de kalender"
"All Pages","Alle paginas"
"Allow","Toestaan"
"Close","Sluiten"
"Close Window","sluit venster"
"Default welcome msg!","Standaard-welkomstbericht"
"Empty","Leeg"
"Go Today","Naar vandaag"
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in je browser."
"Left Column","Linker kolom"
"Next","Volgende"
"Page:","Pagina:"
"Previous","Vorige"
"Report All Bugs","Rapporteer alle bugs."
"Right Column","Rechter kolom"
"Search","Zoek"
"Select Store","Selecteer winkel"
"Show","Weergeven"
"View All","Bekijk alles"
"Your Language","Je taal"
"Your Language:","Je taal:"
"per page","per pagina"
