"Base URL","Basis URL"
"Configuration","Configuratie"
"Confirm Password","Bevestig wachtwoord"
"Continue","Doorgaan"
"Download","Downloads"
"Email","E-mail"
"Email Address","E-mail adres"
"Enable Charts","Activeer grafieken"
"Encryption Key","Encryptiesleutel"
"File System","Bestandsysteem"
"First Name","Voornaam"
"Host","Hostnaam"
"Last Name","Achternaam"
"Locale","Taal"
"Password","Wachtwoord"
"Password Confirmation","Wachtwoord bevestiging"
"Personal Information","Persoonlijke informatie"
"Report All Bugs","Rapporteer alle bugs."
"Required Fields","Verplichte velden"
"Secure Base URL","Beveiligde Basis Url"
"User Name","Gebruikersnaam"
"User Password","Gebruikerswachtwoord"
"Username","Gebruikersnaam"
