"API Login ID","API Login-ID"
"Accepted Currency","Toegestane valuta"
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Autoriseren en vastleggen"
"Cancel","Annuleer"
"Credit Card Types","Kredietkaart types"
"Credit Card Verification","Creditcard-verficatie"
"Debug","Fouten opsporen"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Invalid amount for capture.","Ongeldig bedrag voor het vastleggen."
"Invalid amount for refund.","Ongeldig bedrag voor terugbetaling."
"Maximum Order Total","Maximum orderbedrag"
"Merchant's Email","Handelaar E-mail"
"Minimum Order Total","Minimum orderbedrag"
"New Order Status","Nieuwe orderstatus"
"Payment Action","Betaling"
"Payment capturing error.","Betalingsfout bij het vastleggen van de betaling."
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment refunding error.","Fout in de terugbetaling van de betaling."
"Payment voiding error.","Fout bij het ongeldig maken van betalingen."
"Sort Order","Sorteervolgorde"
"Test Mode","Test Modus"
"Title","Titel"
"Transaction Key","Transactiecode"
"authorize","autoriseer"
"authorize and capture","autoriseren en vastleggen"
"capture","vastleggen"
"failed","mislukt"
"refund","restitutie"
"successful","geslaagd"
"void","ongeldig"
