"10 minutes","10 minuten"
"15 minutes","15 minuten"
"20 minutes","20 minuten"
"30 minutes","30 minuten"
"5 minutes","5 minuten"
"Daily","Dagelijks"
"Failure History Lifetime","Failure history lifetime"
"Generate Schedules Every","Maak planningen elke"
"History Cleanup Every","Geschiedenis opruimen elke"
"Hourly","Elk uur"
"Minute Intervals","Interval minuten"
"Missed if Not Run Within","Gemist als niet uitgevoerd binnen"
"Monthly","Maandelijks"
"Schedule Ahead for","Planning vooruit maken voor"
"Success History Lifetime","Success history lifetime"
"Unable to delete the cron task.","Niet mogelijk om periodieke taak te verwijderen."
"Weekly","Wekelijks"
