"Are you sure?","သေချာလား?"
"Mark as Read","ဖတ္ၿပီးဟုထား"
"Message","စာ"
"Messages Inbox","သတင္းအ၀င္"
"Read Details","အသေးစိတ်ကြည့်ရန်"
"Remove","ဖျက်ပါ"
