"1 Hour","၁ နာရီ"
"12 Hours","၁၂ နာရီ"
"2 Hours","၂ နာရီ"
"24 Hours","၂၄ နာရီ"
"6 Hours","၆ နာရီ"
"All","အားလုံး"
"Close","ပိတ်မည်"
"Incoming Message","အ၀င္Message "
"Messages Inbox","သတင္းအ၀င္"
"None","ဘာမှမရှိ"
"Remove","ဖျက်ပါ"
"close","ပိတ်မည်"
