"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na spisek želja"
"Any","Bilokatero"
"Applied Coupon","Potrjeni kuponi"
"Bestsellers","Naveèkrat prodani"
"Bought from wishlists","Kupjeno s spiska želja"
"Coupons","Kuponi"
"Created At","Narejeno ob"
"Customer","Kupec"
"Customer Name","Ime kupca"
"Customers","Kupci"
"Dashboard","Plošèa"
"Description","Opis"
"Detail","Podrobnost"
"First Name","Ime"
"From","Od"
"Guest","Gost"
"Hits","Zadetkov"
"Items in Cart","Artiklov v košarici"
"Last Name","Priimek"
"Low stock","Minimalna zaloga"
"Most Viewed","Najveè ogledov"
"Name","Ime"
"New Accounts","Novi raèuni"
"No","Ne"
"Number Added","Število dodano"
"Number of Items","Število artiklov"
"Number of Views","Število ogledov"
"Order Status","Status Naroèila"
"Orders","Naroèila"
"Out of stock","Ni na zalogi"
"Popularity","Popularnost"
"Price","Cena"
"Product Name","Ime Artikla"
"Products","Artikli"
"Quantity Ordered","Naroèena kolièina"
"Quantity of Items","Kolièina artiklov"
"Reports","Poroèila"
"Results","Rezultati"
"Sales Report","Poroèila prodaje"
"Search Terms","Iskalni nizi"
"Shipping","Pošiljanje"
"Shopping Cart","Nakupovalna košarica"
"Stock Qty","Kolièina zaloge"
"Submitted In","Dodano v"
"Submitted On","Dodano na"
"Subtotal","Skupaj za plaèilo"
"Tax","Davek"
"Total","Skupaj"
"Visible In","Vidno v"
"Wishlist Report","Poroèilo spiska želja"
"Wishlists","Spiski želja"
"Yes","Da"
