"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Apply","Potrdi"
"By Percentage","Po odstotkih"
"Catalog","Katalog"
"Coupon Code","Koda kupona"
"Customer Groups","Skupine kupcev"
"Date Expire","Konèni datum"
"Date Start","Datum zaèetka"
"Description","Opis"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"From Date","Od datuma"
"General Information","Splošne informacije"
"Inactive","Neaktivno"
"NOT LOGGED IN","NISI VPISAN"
"New Rule","Novo pravilo"
"No","Ne"
"Payment Method","Naèin plaèila"
"Priority","Prioriteta"
"Promotions","Promoviranje"
"Public In RSS Feed","RSS sporoèila za javnost"
"Quantity in cart","Kolièina na kartici"
"Rule Information","Informacija pravila"
"Rule Name","Ime pravila"
"Shipping Country","Država dostave"
"Shipping Method","Naèin dostave"
"Shipping Postcode","Poštna številka dostave"
"Shipping Region","Regija dostave"
"Shipping State/Province","Provinca dostave"
"Subtotal","Skupaj za plaèilo"
"To Date","Do datuma"
"To Percentage","Do procenta"
"Total","Skupaj"
"Total Weight","Skupna teža"
"Update the Product","Posodobi artikel"
"Website","Spletna Stran"
"Yes","Da"
