"# of Uses","# uporab"
"Add to Cart","Dodaj v košarico"
"Add to Wishlist","Dodaj na spisek želja"
"Are you sure you want to do this?","Ste preprièani to izvesti?"
"Back","Nazaj"
"Country","Država"
"Customers","Kupci"
"Delete","Izbriši"
"Disabled","Izkljuèeno"
"First Name","Ime"
"General Information","Splošne informacije"
"Grid","Mreža"
"Last Name","Priimek"
"Name","Ime"
"Popular","Popularno"
"Price","Cena"
"Product Name","Ime Artikla"
"Products","Artikli"
"Store View","Pogled trgovine"
"Telephone","Telefon"
"View Customers","Poglej kupce"
"View Products","Poglej artikle"
