"(Starting with)","(Zaène z)"
"(\t for tab)","(t for tab)"
"-- Please Select --","-- Prosim izberi --"
"--Please Select--","--Prosim izberi--"
"Account Created in:","Raèun narejen v:"
"Account Created on:","Datum vpisa:"
"Account Information","Informacije raèuna"
"Account status","Status raèuna"
"Active","Aktivno"
"Add New","Dodaj novo"
"Add New Image","Dodaj novo sliko"
"Add New Profile","Dodaj nov profil"
"Add New User","Dodaj novega uporabnika"
"Advanced Profiles","Napredni Profili"
"All Allowed Countries","Vse dovoljene države"
"All Files","Vse datoteke"
"All Reviews","Vse ocene"
"All Store Views","Vsi pogledi Trgovine"
"All Websites","Vse spletne strani"
"All countries","Vse države"
"All fields","Vsa polja"
"Any","Bilokatero"
"Any Group","Bilokatera Skupina"
"Any Status","Bilokater Status"
"Any Store","Bilokatera Trgovina"
"Any Type","Bilokater Tip"
"Are you sure you want to do this?","Ste preprièani to izvesti?"
"Back","Nazaj"
"Bestsellers","Naveèkrat prodani"
"Billing Address","Naslov Plaèevanja"
"Catalog","Katalog"
"Categories","Kategorije"
"Category","Kategorija"
"Complete","Dokonèano"
"Continue","Nadaljuj"
"Convert to Plain Text","Spremeni v Navadni tekst"
"Country","Država"
"Country:","Država:"
"Coupons","Kuponi"
"Created At","Narejeno ob"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Number: xxxx-%s","Številka kreditne kartice: xxxx-%s"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Type: %s","Tip kreditne kartice: %s"
"Currency","Valuta"
"Custom","Poljubno"
"Customer","Kupec"
"Customer Group:","Skupina kupca:"
"Customer Groups","Skupine kupcev"
"Customer Name","Ime kupca"
"Customer Since:","Kupec od èasa:"
"Customers","Kupci"
"Dashboard","Plošèa"
"Date Updated","Posodobljeno na datum"
"Delete","Izbriši"
"Delete User","Izbriši uporabnika"
"Description","Opis"
"Disable","Izkljuèi"
"Disabled","Izkljuèeno"
"Edit","Uredi"
"Email Address:","Email Naslov:"
"Enable","Vkljuèi"
"Enabled","Vkljuèeno"
"Expiration Date","Konèni datum"
"Expiration Date: %s/%s","Konèni datum: %s/%s"
"Export","Izvozi"
"Failed","Napaka"
"First Name","Ime"
"First Name:","Ime:"
"From","Od"
"General Information","Splošne informacije"
"Grand Total","Skupaj"
"Guest","Gost"
"Home","Domov"
"Import","Uvozi"
"Inactive","Neaktivno"
"Last 5 Orders","Zadnjih 5 naroèil"
"Last 5 Search Terms","Zadnjih 5 iskanih nizov"
"Last Name","Priimek"
"Last Name:","Priimek:"
"Lifetime Sales","Doživljenjska Prodaja"
"Loading...","Nalagam..."
"Log In","Prijavi se"
"Log Out","Odjava"
"Login","Vpiši"
"Most Viewed","Najveè ogledov"
"Name","Ime"
"Name on Card","Ime na kartici"
"Name on the Card: %s","Ime na kartici: %s"
"Name:","Ime:"
"New Accounts","Novi raèuni"
"New Customers","Novi kupci"
"New Password","Novo geslo"
"New Poll","Nova anketa"
"New Rating","Nova ocena"
"New Rule","Novo pravilo"
"New User","Nov uporabnik"
"Newsletter","Novice"
"Newsletter Subscribers","Prijavi na Novice"
"No","Ne"
"None","Prazno"
"Number of Orders","Število naroèil"
"Number of Views","Število ogledov"
"Online Customers","Kupci online"
"Options","Možnosti"
"Order","Naroèilo"
"Order #%s","Naroèilo #%s"
"Order #%s (%s)","Naroèilo #%s (%s)"
"Orders","Naroèila"
"Out of stock","Ni na zalogi"
"Password","Geslo"
"Password Confirmation","Ponovi geslo"
"Password:","Geslo:"
"Personal Information","Osebne informacije"
"Phone:","Telefon:"
"Please wait, loading...","Prosim poèakajte, nalagam..."
"Please wait...","Prosim poèakajte..."
"Poll Manager","Urednik Anket"
"Popular","Popularno"
"Preview","Predogled"
"Price","Cena"
"Price:","Cena:"
"Product","Artikl"
"Product Name","Ime Artikla"
"Products","Artikli"
"Promotions","Promoviranje"
"Quantity","Kolièina"
"Refresh","Osveži"
"Region/State","Regija"
"Reports","Poroèila"
"Required","Potrebno"
"Reset","Resetiraj"
"Results","Rezultati"
"Return Html Version","Povrni Html Verzijo"
"Sales Report","Poroèila prodaje"
"Save","Shrani"
"Save Account","Shrani raèun"
"Save Config","Shrani konfiguracijo"
"Save User","Shrani uporabnika"
"Search","Išèi"
"Search Terms","Iskalni nizi"
"Select All","Izberi vse"
"Sender","Pošiljatelj"
"Shipment Comments","Dostav - komentarji"
"Shipments","Dostave"
"Shipping","Pošiljanje"
"Shipping Address","Naslov dostave"
"Shopping Cart","Nakupovalna košarica"
"Start Date","Datum zaèetka"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Subtotal","Skupaj za plaèilo"
"Tax","Davek"
"Tools","Orodja"
"Total","Skupaj"
"Track Order","Sledi naroèilu"
"Track this shipment","Sledi tej dostavi"
"Transaction Type","Tip transakcije"
"Type","Tip"
"Type:","Tip:"
"User Name","Ime uporabnika"
"User Password","Geslo uporabnika"
"Users","Uporabniki"
"Website","Spletna Stran"
"What is this?","Kaj je to?"
"Wishlist Report","Poroèilo spiska želja"
"Yes","Da"
"[ deleted ]","[ izbrisano ]"
