"-- Please Select --","-- Prosim izberi --"
"Add New Class","Dodaj nov Razred"
"Add New Tax Rate","Dodaj novo davèno stopnjo"
"Add New Tax Rule","Dodaj novo davèno pravilo"
"Are you sure you want to do this?","Ste preprièani to izvesti?"
"Back","Nazaj"
"Country","Država"
"Delete Rate","Izbriši stopnjo"
"Delete Rule","Izbriši pravilo"
"Edit Rule","Uredi pravilo"
"Edit Tax Rate","Uredi davèno stopnjo"
"Export Tax Rates","Izvozi davène stopnje"
"Import / Export Tax Rates","Uvozi / Izvozi Davène Stopnje"
"Import Tax Rates","Vstavi davène stopnje"
"Name","Ime"
"New Rule","Novo pravilo"
"New Tax Rate","Nova davèna stopnja"
"No","Ne"
"None","Prazno"
"Priority","Prioriteta"
"Reset","Resetiraj"
"Save Rate","Shrani stopnjo"
"Save Rule","Shrani pravilo"
"Tax","Davek"
"Tax Rate","Davèna stopnja"
"Tax Rate Information","Informacija o davèni stopnji"
"Tax Rule Information","Informacije davènih pravil"
"Tax Rules","Davèna pravila"
"This rule no longer exists","To pravilo veè ne obstaja"
"Total","Skupaj"
"Yes","Da"
"Zip/Post Code","Poštna številka"
