"%s's Wishlist","%s spisek želja"
"Cannot retrieve the wishlist","Ne morem dostopati do spiska želja"
"Catalog","Katalog"
"Comment: %s<br/>","Komentar: %s<br/>"
"Current Status: %s<br/>","Trenutni Status: %s<br/>"
"Grand Total","Skupaj"
"New Orders","Nova naroèila"
"New Products","Novi artikli"
"New Products from %s","Novi artikli od %s"
"Order","Naroèilo"
"Order # %s Notification(s)","Naroèila # %s obvestilo(a)"
"Rss Config","Rss Nastavitve"
"Store: %s <br/>","Trgovina: %s <br/>"
"Subtotal","Skupaj za plaèilo"
"Tax","Davek"
"Total: %s<br/>","Skupaj: %s<br/>"
"Wishlist","Seznam želja"
