"City","Mesto"
"Close Window","Zapri okno"
"Country","Država"
"Delivered on:","Dostavljeno na:"
"Delivered to:","Dostavljeno k:"
"Description","Opis"
"Enabled","Vkljuèeno"
"Error:","Napaka:"
"Export","Izvozi"
"Import","Uvozi"
"Local Time","Lokalni èas"
"Location","Lokacija"
"None","Prazno"
"Options","Možnosti"
"Price","Cena"
"Price vs. Destination","Cena proti Destinaciji"
"Region/State","Regija"
"Shipment #","Dostava #"
"Shipping Methods","Metode dostave"
"Shipping Settings","Nastavitve dostave"
"Signed by:","Podpisano od:"
"Street Address","Naslov (ulica)"
"Tracking Number:","Številka sledi:"
"Type","Tip"
"Weight (and above)","Teža (in nad)"
"Weight vs. Destination","Teža proti Destinaciji"
"Weight:","Teža:"
"ZIP/Postal Code","Poštna številka"
"contact us","kontaktirajte nas"
