"Attribute Set","Set Atributa"
"Back","Nazaj"
"Catalog","Katalog"
"City","Mesto"
"Company","Podjetje"
"Country","Država"
"Coupon Code","Koda kupona"
"Customer","Kupec"
"Delete","Izbriši"
"Edit","Uredi"
"First Name","Ime"
"Grand Total","Skupaj"
"Guest","Gost"
"Last Name","Priimek"
"Order","Naroèilo"
"Order Comments","Komentarji naroèila"
"Order Date","Datum Naroèila"
"Order Status","Status Naroèila"
"Orders","Naroèila"
"Payment Method","Naèin plaèila"
"Price","Cena"
"Product","Artikl"
"Product ID","ID Artikla"
"Qty","Kolièina"
"Save","Shrani"
"Shipping Amount","Cena dostave"
"Shipping Method","Naèin dostave"
"Subtotal","Skupaj za plaèilo"
"Tax Amount","Kolièina davka"
"Tax Rate","Davèna stopnja"
"Type","Tip"
"ZIP/Postal Code","Poštna številka"
