"%s's Wishlist","%s spisek želja"
"Add All to Cart","Dodaj vse v košarico"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na spisek želja"
"Back","Nazaj"
"Can't save description %s","Ne morem shraniti opisa %s"
"Comment","Komentar"
"Edit","Uredi"
"Enabled","Vkljuèeno"
"General Options","Splošne Možnosti"
"Go to Wishlist","Pojdi v Spisek Želja"
"Last Added Items","Nazadnje dodani artikli"
"My Wishlist","Moj Spisek Želja"
"My Wishlist (%d item)","Moj spisek želja (%d item)"
"My Wishlist (%d items)","Moj spisek želja (%d items)"
"Out of stock","Ni na zalogi"
"Please, enter your comments...","Prosim, vpišite vaš komentar...!
Product"""
"Price","Cena"
"Product","Artikl"
"Qty","Kolièina"
"Remove Item","Odstrani artikel"
"Update Wishlist","Posodobi spisek želja"
"View Details","Poglej podrobnosti"
"View Product","Poglej artikel"
"Wishlist","Seznam želja"
"Wishlist is empty now.","Spisek želja je sedaj prazen."
"You have no items in your wishlist.","Ni artiklov v spisku želja."
