"1 Day Freight","24 uurs zending"
"2 Day Freight","48 uurs zending"
"2nd Day Air","24 uurs zending (lucht)"
"2nd Day Air AM","48 uurs zending (lucht)"
"2nd Day Air AM Letter","48 uurs zending (briefpost)"
"2nd Day Air Letter","48 uurs zending (briefpost)"
"3 Day Freight","72 uur (vracht)"
"3 Day Select","72 uur (select)"
"Access ID","Toegangs-ID"
"Access License Number","Toegangs licentie nummer"
"Account ID","Klant-ID"
"Account Number","Account-nummer"
"Adult Signature Required","Handtekening volwassene verplicht"
"Allowed Methods","Toegestane methodes"
"Calculate Handling Fee","Verzendkosten berekenen"
"Canada Standard","Canada Standaard"
"Cannot retrieve shipping rates","Kan de verzendkosten niet ophalen"
"Commercial","Commercieel"
"Configuration","Configuratie"
"Customer Packaging","Verpakking klant"
"DHL service is not available at %s date","DHL service is niet beschikbaar op %s datum"
"Debug","Fouten opsporen"
"Delivery Confirmation","Verzendbevestiging"
"Depth","Diepte"
"Destination Type","Type Bestemming"
"Development","Ontwikkeling"
"Displayed Error Message","Weergeven foutbericht"
"Documents","Documenten"
"Drop Box","Drop box"
"Dropoff","Dropshipment"
"Empty response","Leeg antwoord"
"Enable Negotiated Rates","Overeengekomen prijzen inschakelen"
"Enabled for Checkout","Ingeschakeld bij Afrekenen"
"Europe First Priority","Europa hoogste prioriteit"
"Express Saver","Express voordeeltarief"
"FedEx 10kg Box","FedEx 10kg doos"
"FedEx 25kg Box","FedEx 25kg doos"
"FedEx Box","FedEx doos"
"FedEx Envelope","FedEx enveloppe"
"FedEx Pak","FedEx pakket"
"FedEx Tube","FedEx koker"
"First Overnight","Deze nacht"
"First-Class Mail International Large Envelope","First-Class Mail International grote envelop"
"First-Class Mail International Letter","First-Class Mail internationale brief"
"First-Class Mail International Postcard","First-Class Mail internationale ansichtkaart"
"First-Class Mail Large Envelope","First-Class Mail grote envelop"
"First-Class Mail Large Postcards","First Class Mail grote ansichtkaart"
"First-Class Mail Letter","First-Class Mail brief"
"First-Class Package Service - Retail","First-Class Mail - Winkel"
"First-Class Package Service Hold For Pickup","First-Class Package Service Bewaar voor Pickup"
"Flat","Gelijk"
"Flat-Rate Envelope","Gelijk-tarief enveloppe"
"Free Method","Gratis methode"
"Gateway URL","Betaalplatform URL"
"Gift","Kado"
"Girth","Omtrek"
"Ground","Grond vervoer"
"Ground Commercial","Grond zakelijk"
"Ground Residential","Grond consument"
"Handling Applied","Verwerkingskosten toegepast"
"Handling Fee","Verwerkingskosten"
"Height","Hoogte"
"Home Delivery","Huis aflevering"
"International Economy","Internationaal Economy"
"International First","Internationaal First"
"International Priority","Internationaal Priority"
"Intl Economy Freight","Int. Economy Freight"
"Intl Priority Freight","Int. Priority Freight"
"Key","Sleutel"
"Kilograms","Kilogram"
"Large","Groot"
"Length","Lengte"
"Letter","Brief"
"Machinable","Machinaal"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum pakketgewicht (Vraag uw transportbedrijf naar het maximaal toegestane pakketgewicht)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Pakket Gewicht (neem contact op met uw logistieke dienstverlener om dit te achterhalen)"
"Mode","Type"
"Next Day Air","Morgen per luchtpost"
"Next Day Air Early AM","Morgenvroeg per luchtvracht"
"Next Day Air Early AM Letter","Morgenvroeg per luchtpost"
"Next Day Air Letter","Morgen per luchtpost"
"Next Day Air Saver","Volgende dag met besparing"
"Next Day Air Saver Letter","Volgende dag luchtpost met besparing"
"No","Nee"
"Non-rectangular","Niet rechthoekig"
"None","Geen"
"Not Required","Niet verplicht"
"Order","Bestelling"
"Origin of the Shipment","Oorsprong van verzending"
"Other","Andere"
"Package","Pakket"
"Packaging","Verpakking"
"Parcel","Pakket"
"Password","Wachtwoord"
"Pickup Method","Afhaalwijze"
"Please make sure to use only digits here. No dashes are allowed.","Gebruik alleen cijfers. Streepjes zijn niet toegestaan."
"Pounds","500 gram"
"Priority Mail","Priority Post"
"Priority Mail Express Flat Rate Envelope","Vast tarief Priority Mail Express envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Vast Bedrag Enveloppe Bijhouden voor Afhaling"
"Priority Mail Express Hold For Pickup","Vast tarief Priority Mail Express Vasthouden voor afhalen"
"Priority Mail Express International Flat Rate Envelope","Vast tarief Priority Mail Express International envelop"
"Priority Mail Express International Padded Flat Rate Envelope","Vast tarief Priority Mail Express International padded envelope"
"Priority Mail Express Legal Flat Rate Envelope","Vast tarief Priority Mail Express legal envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail Express legal envelop Vasthouden voor Afhaling"
"Priority Mail Express Padded Flat Rate Envelope","Vast tarief Priority Mal Express padded envelop"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail Express padded envelop Vasthouden voor Afhaling"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Zondag/Feestdag Levering"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Vast tarief Priority Mail Zondag/Feestdag Levering doos"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Vast tarief Priority Mail Express Zondag/Feestdag Levering envelop"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Vast tarief Priority Mail Express Zondag/Feestdag Levering Legal envelop"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Vast tarief Priority Mail Express Zondag/Feestdag Levering envelop"
"Priority Mail Flat Rate Envelope","Vast tarief Priority Mail envelop"
"Priority Mail Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail envelop Vasthouden voor ophalen"
"Priority Mail Gift Card Flat Rate Envelope","Vast tarief Priority Mail Cadeaucard envelop"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail cadeaucard envelop vasthouden voor afhalen"
"Priority Mail Hold For Pickup","Priority Mail Vasthouden voor ophalen"
"Priority Mail International DVD Flat Rate priced box","Vast tarief Priority Mail International DVD doos"
"Priority Mail International Large Flat Rate Box","Vast tarief Priority Mail International grote doos"
"Priority Mail International Large Video Flat Rate priced box","Vast tarief Priority Mail International grote video doos"
"Priority Mail International Medium Flat Rate Box","Vast tarief Priority Mail International medium doos"
"Priority Mail International Small Flat Rate Box","Vast tarief Priority Mail International kleine doos"
