"Actions","Acties"
"Active","Actief"
"Add New Rule","Voeg nieuwe regel toe"
"Apply","Toepassen"
"Apply Rules","Regels toepassen"
"Attribute Set","Attributenset"
"Catalog","Catalogus"
"Catalog Price Rule","Catalogus Prijsregel"
"Catalog Price Rules","Catalogusprijs Regels"
"Category","Categorie"
"Conditions","Voorwaarden"
"Conditions Combination","Voorwaardencombinatie"
"Customer Groups","Klantengroepen"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Description","Beschrijving"
"Discount Amount","Korting"
"Edit Rule","Bewerk regel"
"Expiration Date","Vervaldatum"
"General Information","Algemene informatie"
"Inactive","Inactief"
"New Rule","Nieuwe regel"
"No","Nee"
"Options","Opties"
"Priority","Prioriteit"
"Product Attribute","Product-attribuut"
"Promotions","Promoties"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Save and Apply","Opslaan en toepassen"
"Save and Continue Edit","Toepassen"
"Start Date","begindatum"
"Status","status"
"This rule no longer exists.","Deze regel bestaat niet langer."
"Type","Soort"
"Yes","Ja"
