"""Remember Me"" Default Value","""Onthoud mij"" Standaardwaarde"
"* Required Fields","* Verplichte velden"
"Address","Adres"
"Address Information","Adres Gegevens"
"Back","Terug"
"City","Plaatsnaam"
"Close","Sluiten"
"Company","Bedrijf"
"Confirm Password","Bevestig wachtwoord"
"Continue","Doorgaan"
"Country","Land"
"Create an Account","Account aanmaken"
"Email Address","E-mail adres"
"Enable ""Remember Me""","Activeer ""Onthoud mij"""
"Enable Persistence","Activeer het volgen van de winkelwagen"
"Forgot Your Password?","Wachtwoord vergeten?"
"Forgot your password?","Wachtwoord vergeten?"
"General Options","Algemene Opties"
"Login","Log in"
"New Customers","Nieuwe klanten"
"Password","Wachtwoord"
"Persist Shopping Cart","Winkelwagen volgen"
"Persistence Lifetime (seconds)","Levensduur in seconden"
"Persistent Shopping Cart","Winkelwagen volgen"
"Personal Information","Persoonlijke informatie"
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Registered Customers","Geregistreerde klanten"
"Remember Me","Onthoud mij"
"Save in address book","Opslaan in adresboek"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"State/Province","Staat/Provincie"
"Street Address","Adres"
"Submit","Bevestig"
"VAT Number","BTW nummer"
"What's this?","Wat is dit?"
"Zip/Postal Code","Postcode"
