"Action","Actie"
"Add","Toevoegen"
"Add to Cart","In Winkelwagen"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Approved","Akkoord"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure?","Weet je het zeker?"
"Back","Terug"
"Block Information","Blok informatie"
"Change status","Verander status"
"Country","Land"
"Customer Since","Klant Sinds"
"Customers","Klanten"
"Delete","Verwijder"
"Disabled","Uitgeschakeld"
"Email","E-mail"
"First Name","Voornaam"
"General Information","Algemene informatie"
"Grid","Foto-tabel"
"Last Name","Achternaam"
"List","Lijst"
"Name","Naam"
"Pending","In afwachting"
"Price","prijs"
"Product Name","Product Naam"
"Products","Producten"
"Remove","Verwijder"
"SKU","Art.nr."
"Save and Continue Edit","Toepassen"
"Status","status"
"Store View","Winkelaanzicht"
"Tags","tags"
"Update","Bijwerken"
"ZIP/Post Code","Postcode"
"[STORE VIEW]","[WINKELAANZICHT]"
