"Advanced Search","Geavanceerd zoeken"
"All","Alle"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Catalog Search","Catalogus doorzoeken"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Go to Home Page","Ga naar homepagina"
"Grid","Foto-tabel"
"List","Lijst"
"Maximum Query Length","Maximale lengte zoekopdracht"
"Minimal Query Length","Minimale lengte zoekopdracht"
"No","Nee"
"Popular Search Terms","Populaire zoekwoorden"
"Rebuild Catalog product fulltext search index","Product 'fulltext' zoekindex herindexeren"
"Relevance","Relevantie"
"Results","Resultaten"
"Search","Zoek"
"Search Settings","Zoekinstellingen"
"Search Terms","Zoektermen"
"Search entire store here...","Doorzoek de hele winkel"
"There are no search terms available.","Er zijn momenteel geen populaire trefwoorden beschikbaar."
"Yes","Ja"
